消耗性资产名称,编码,名称,商家/厂家/品牌,批号/编号/标识,规格型号,批次备注,验检入库编号,有效期至,来源,入库总量,入库单位,领用要求,入库备注,房间名称,箱柜屉架,隔板层数,领用出库编号,出库数量,出库单位,出库备注,库存数量,单位,备注说明1,备注说明2
邻苯二甲酸二丁酯,J1,常规化学品,国药,20141119,AR500ml,,,,购置,1,瓶,常规,,203,203G-03,1,,,,,1,瓶,,
胶棉液,J1,常规化学品,上海烫金材料厂,Q/YQBE05-91,CP500ml,,,,购置,1,瓶,常规,,203,203G-03,1,,,,,1,瓶,,
乙酸丁酯,J1,常规化学品,凌峰化学,20160616,AR500ml,,,,购置,1,瓶,常规,已开，避光,203,203G-03,1,,,,,1,瓶,,
丙三醇（甘油）,J1,常规化学品,埃彼化学,F20171118,AR500ml,,,,购置,1,瓶,常规,增加了括号内的甘油，避光,203,203G-03,3,,,,,1,瓶,,
丙三醇,J1,常规化学品,西陇科学（化工）,150610,AR500ml,,,,购置,1,瓶,常规,避光,203,203G-03,3,,,,,1,瓶,,
间甲酚,J1,常规化学品,艾科试剂,201812081,500g,,,,购置,4,瓶,常规,,203,203G-03,3,,,,,4,瓶,,
N，N-二甲基乙酰胺,J1,常规化学品,艾科试剂,201808201,500ml,,,,购置,1,瓶,常规,,203,203G-03,3,,,,,1,瓶,,7.20甲改为乙
N，N-二甲基乙酰胺,J1,常规化学品,阿拉丁,G2031083,500ml,,,,购置,3,瓶,常规,避光,203,203G-03,3,,,,,3,瓶,,"7.20日入库数量改为3
251211其中一瓶约剩余0.75瓶"
碘化钾,J1,常规化学品,光复化工,20230224,AR500g,,GQX-230311-MYM-J1-001,,购置,1,瓶,常规,,203,,,MYM-230311-CJF-J1-001,1,瓶,,,,,
碱性碘化汞钾,J1,常规化学品,天津华特,,100毫升/瓶,,QDJ-230508-MYM-J1-001,,购置,1,瓶,常规,,203,,,MYM-230516-CJF-J1-001,1,瓶,,,,,
二苯胺,J1,常规化学品,国药,20221021/20074416,AR100g,,QDJ-230508-MYM-J1-002,,购置,1,瓶,常规,,203,,,MYM-230516-CJF-J1-002,1,瓶,,,,,
R2A琼脂培养基,J1,常规化学品,海博生物,20230228/HB0167-5,250g/瓶,,QDJ-230508-MYM-J1-003,,购置,1,瓶,常规,,203,,,MYM-230516-CJF-J1-003,1,瓶,,,,,
甲基橙,J1,常规化学品,西亚化学,20230303,IND25g,,QDJ-230522-MYM-J1-004,,购置,1,瓶,常规,,203,,,MYM-230523-CJF-J1-004,1,瓶,,,,,
纳氏试剂,J1,常规化学品,天津,,500毫升,,QDJ-230525-MYM-J1-001,,购置,1,瓶,常规,,,,,MYM-230530-CJF-J1-001,1,瓶,,,,,
无水亚硫酸钠,J1,常规化学品,西陇科学（化工）,180705 1,AR500g,,CJF-230720-MYM-J1-001,,返还,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,7.20盘点从无水硫酸钠66瓶中发现有1瓶是无水亚硫酸钠
乳糖蛋白胨培养液,J1,常规化学品,百思,20240705,250g,,CYQ-240806-LMI-J1-001,2027.07.05,购置,1,瓶,常规,,203,203G-06,5,LMI-240806-CYQ-J1-001,1,瓶,,,,,
营养琼脂,J1,常规化学品,百思,20240628,100g,,CYQ-240806-LMI-J1-002,2027.06.28,购置,1,瓶,常规,,203,203G-06,5,LMI-240806-CYQ-J1-002,1,瓶,,,,,
伊红美蓝琼脂,J1,常规化学品,百思,20240611,250g,,CYQ-240806-LMI-J1-003,2027.06.11,购置,1,瓶,常规,,203,203G-06,5,LMI-240806-CYQ-J1-003,1,瓶,,,,,
氯胺T，三水,J1,常规化学品,国药,20240614,AR500g,,CYQ-240808-LMI-J1-001,,购置,1,瓶,常规,,203,203G-06,5,LMI-240808-CYQ-J1-001,1,瓶,,,,,
孟加拉红（虎红）琼脂,J1,常规化学品,百思,20240620,250g,,CYQ-240822-LMI-J1-001,2027.06.20,购置,1,瓶,常规,,203,203G-06,5,LMI-240822-CYQ-J1-001,1,瓶,,,,,
Baird-Parker 琼脂基础,J1,常规化学品,广东中山百微生物技术有限公司,20240709,250g,,CYQ-240822-LMI-J1-002,2027.07.09,购置,1,瓶,常规,,203,203G-06,5,LMI-240822-CYQ-J1-002,1,瓶,,,,,
葡萄糖肉浸液肉汤,J1,常规化学品,广东中山百微生物技术有限公司,20220711,250g,,CYQ-240822-LMI-J1-003,2025.07.11,购置,1,瓶,常规,,203,203G-06,5,LMI-240822-CYQ-J1-003,1,瓶,,,,,
7.5%氯化钠肉汤,J1,常规化学品,广东中山百微生物技术有限公司,20240612,250g,,CYQ-240822-LMI-J1-004,2027.06.12,购置,1,瓶,常规,,203,203G-06,5,LMI-240822-CYQ-J1-004,1,瓶,,,,,
血琼脂平板,J1,常规化学品,比克曼,20240717,70mm，10个/包,,CYQ-240822-LMI-J1-005,2024.10.17,购置,1,包,常规,2-8℃避光,203,203G-06,5,LMI-240822-CYQ-J1-005,1,包,,,,,
硝酸盐蛋白胨水培养基,J1,常规化学品,中山百微,20240810,250g,,CYQ-240829-LMI-J1-001,2027.08.10,购置,1,瓶,常规,,203,203G-06,5,LMI-240829-CYQ-J1-001,1,瓶,,,,,
沙氏葡萄糖琼脂培养基,J1,常规化学品,中山百微,20240817,250g,,CYQ-240829-LMI-J1-002,2027.08.17,购置,1,瓶,常规,,203,203G-06,5,LMI-240829-CYQ-J1-002,1,瓶,,,,,
SCDLP液体培养基,J1,常规化学品,中山百微,20240813,250g,,CYQ-240829-LMI-J1-003,2027.08.13,购置,1,瓶,常规,,203,203G-06,5,LMI-240829-CYQ-J1-003,1,瓶,,,,,
十六烷三甲基溴化铵培养基,J1,常规化学品,中山百微,20240820,250g,,CYQ-240829-LMI-J1-004,2027.08.20,购置,1,瓶,常规,,203,203G-06,5,LMI-240829-CYQ-J1-004,1,瓶,,,,,
明胶培养基（营养明胶）,J1,常规化学品,中山百微,20240709,250g,,CYQ-240829-LMI-J1-005,2027.07.09,购置,1,瓶,常规,,203,203G-06,5,LMI-240829-CYQ-J1-005,1,瓶,,,,,
尿素生化鉴定管（非发酵细菌）,J1,常规化学品,杭州微生物试剂有限公司,20240820,20支,2-10℃保存,CYQ-240909-LMI-J1-001,2027.08.20,购置,20,支,常规,,203,冰箱,3,YZH-251017-SYY-J1-008,20,支,,,,,
氧化酶试验试纸,J1,常规化学品,杭州微生物试剂有限公司,20240812,5包/盒,避光、置冷处保存,CYQ-240909-LMI-J1-002,2025.02.12,购置,5,包,常规,,203,冰箱,3,YZH-251017-SYY-J1-009,5,包,,,,,
采样吸收液1-GVPC液体培养基,J1,常规化学品,北京陆桥,20240823,20mL/支×20支/盒,2-25℃避光保存,CYQ-240909-LMI-J1-003,2025.02.22,购置,20,支,常规,,310,冰箱,3,,,,,20,支,,
酵母浸粉,J1,常规化学品,南京全隆生物技术有限公司,20240809,BR250g,阴凉干燥处保存,CYQ-240909-LMI-J1-004,2027.08.09,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,
BCYE-Cys琼脂平板,J1,常规化学品,广东环凯,240717Y04,20套（9cm）,2-25℃避光保存,CYQ-240909-LMI-J1-005,2025.01.16,购置,20,套,常规,,310,冰箱,4,,,,,20,套,,
BCYE-琼脂培养基平板,J1,常规化学品,广东环凯,240808Y06,20套（9cm）,2-25℃避光保存,CYQ-240909-LMI-J1-006,2025.02.07,购置,20,套,常规,,310,冰箱,4,,,,,20,套,,
GVPC琼脂培养基,J1,常规化学品,广东环凯,240821Y04,20套（9cm）,2-25℃避光保存,CYQ-240909-LMI-J1-007,2024.11.20,购置,20,套,常规,,310,冰箱,4,,,,,20,套,,
琼脂培养基（2216 E琼脂）,J1,常规化学品,青岛高科技工业园海博生物技术有限公司,20241226,250g,室温、避光和干燥处保存,KDY-250627-PKF-J1-015,2027.12.25,购置,1,瓶,常规,,203,203G-06,5,YZH-250925-SYY-J1-003,1,瓶,,,,,
胰蛋白胨大豆琼脂培养基,J1,常规化学品,青岛高科技工业园海博生物技术有限公司,20250319,250g,室温、避光和干燥处保存,KDY-250627-PKF-J1-016,2028.03.18,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,
EC-MUG培养基,J1,常规化学品,青岛高科技工业园海博生物技术有限公司,250250418,250g,室温、避光和干燥处保存,KDY-250627-PKF-J1-017,2027.11.19,购置,1,瓶,常规,,203,203G-06,5,YZH-250912-SYY-J1-013,1,瓶,,,,,
碘,J1,常规化学品,上海阿拉丁生化科技股份有限公司,C2517212,AR，≥99.8%,,KDY-250718-YZH-J1-001,,购置,25,g,常规,,203,203G-06,1,,,,,25,g,,
氰尿酸试剂片,J1,常规化学品,,17891,50片/袋,,KDY-250718-YZH-J1-002,,购置,1,袋,常规,,203,203G-06,1,ZFY-250927-YZH-J1-002,1,袋,,,,,
镀铜镉粒,J1,常规化学品,北京朋利驰科技有限公司,,15g,,KDY-250718-YZH-J1-003,,购置,15,g,常规,,203,203G-06,1,,,,,15,g,,
AHMT,J1,常规化学品,天津市众联化学试剂有限公司,X2-15,5g,2-8℃干燥避温保存,KDY-250721-YZH-J1-001；XQN-250725-YZH-J1-032；,,购置,10,g,常规,,203,冰箱,2,YZH-250725-XQN-J1-005;SYO-251217-YZH-J1-004,5,g,,5,g,,
革兰氏染色液,J1,常规化学品,南京全隆生物技术有限公司,20250617,80ml,10-30℃避光保存,KDY-250721-YZH-J1-003,2028.06.17,购置,50,ml,常规,,203,203G-01,1,YZH-251017-SYY-J1-007,50,ml,,,,,
纳氏试剂,J1,常规化学品,西安天茂宝鼎生物科技有限公司,20250622,500ml,10-30℃避光保存,KDY-250721-YZH-J1-004,,购置,500,ml,常规,,203,203G-01,1,YZH-251009-WYH-J1-006,500,ml,,,,,
L（+）-抗坏血酸,J1,常规化学品,西陇科学股份有限公司,250512A2,AR,,KDY-250721-YZH-J1-005；XQN-250729-YZH-J1-006,,购置,25,g,常规,,203,203G-02,4,YZH-250729-XQN-J1-006,20,g,,5,g,,
"3,3’5,5’-四甲基联苯胺",J1,常规化学品,上海麦克林生化科技股份有限公司,C17164482,1g,2-8℃干燥避温保存,KDY-250722-YZH-J1-001,,购置,1,g,常规,,203,冰箱,2,,,,,1,g,,
无水磷酸氢二钠,J1,常规化学品,天津市科密欧化学试剂有限公司,20250407,AR,,KDY-250725-YZH-J1-003,,购置,500,g,常规,,203,203G-06,2,,,,,500,g,,
"1,10-菲啰啉",J1,常规化学品,天津市科密欧化学试剂有限公司,20250108,AR,,KDY-250725-YZH-J1-005,,购置,5,g,常规,,203,203G-07,2,,,,,5,g,,
钒试剂,J1,常规化学品,天津市科密欧化学试剂有限公司,20250110,AR,,KDY-250725-YZH-J1-007,,购置,10,g,常规,,203,203G-07,1,,,,,10,g,,
二水合乙酸锌,J1,常规化学品,天津市科密欧化学试剂有限公司,20250428,AR,,KDY-250725-YZH-J1-008,,购置,500,g,常规,,203,203G-07,1,,,,,500,g,,
乙二胺四乙酸二钠,J1,常规化学品,天津市科密欧化学试剂有限公司,20250508,AR,,KDY-250725-YZH-J1-014,,购置,250,g,常规,,203,203G-07,4,,,,,250,g,,
磷酸二氢铵,J1,常规化学品,天津市科密欧化学试剂有限公司,20241019,GR,,KDY-250725-YZH-J1-015,,购置,500,g,常规,,203,203G-07,3,,,,,500,g,,
DL-酒石酸,J1,常规化学品,天津市科密欧化学试剂有限公司,20250321,AR,,KDY-250725-YZH-J1-016,,购置,500,g,常规,,203,203G-07,3,,,,,500,g,,
对二甲氨基亚苄基罗丹宁（试银灵）,J1,常规化学品,天津市科密欧化学试剂有限公司,20250110,AR,,KDY-250725-YZH-J1-017,,购置,5,g,常规,,203,203G-07,3,,,,,5,g,,
L（+）-酒石酸铵,J1,常规化学品,国药集团化学试剂有限公司,20240701,AR,,KDY-250725-YZH-J1-018,,购置,50,g,常规,,203,203G-07,3,,,,,50,g,,
二水合柠檬酸三钠（柠檬酸钠）,J1,常规化学品,国药集团化学试剂有限公司,20250526,AR,,KDY-250725-YZH-J1-019,,购置,500,g,常规,,203,203G-07,3,ZFY-250912-YZH-J1-006,500,g,,,,,
二乙基对苯二胺硫酸盐,J1,常规化学品,上海麦克林生化科技股份有限公司,C17526966,0.98,,KDY-250725-YZH-J1-020,,购置,5,g,常规,,203,203G-07,1,,,,,5,g,,
二甲基黄,J1,常规化学品,国药集团化学试剂有限公司,20240927,指示剂lnd,,KDY-250725-YZH-J1-021,,购置,25,g,常规,,203,203G-07,2,,,,,25,g,,
马尿酸盐（军团菌）,J1,常规化学品,广东环凯微生物科技有限公司,250620G06,0.4ml,,KDY-250725-YZH-J1-001,2027.06.19,购置,4,板,常规,,203,203G06,5,YZH-251017-SYY-J1-006,4,板,,,,,
1-苯基-3-甲基-5-吡唑啉酮,J1,常规化学品,天津市科密欧化学试剂有限公司,20250608,AR,,KDY-250725-YZH-J1-002,,购置,25,g,常规,,203,203G07,2,,,,,25,g,,
十六烷,J1,常规化学品,国药集团化学试剂有限公司,20250401,0.98,,KDY-250802-YZH-J1-001,,购置,25,mL,常规,,203,203G-07,3,,,,,25,mL,,
二水合乙酸锌,J1,常规化学品,天津市科密欧化学试剂有限公司,20250428,AR,,KDY-250807-YZH-J1-001,,购置,500,g,常规,,203,203G-07,1,,,,,500,g,,
高纯氧化铝粉,J1,常规化学品,中冶鑫盾合金,45891,20nm,,KDY-250825-YZH-J1-001,,购置,50,g,常规,,203,203G-07,2,ZFY-250825-YZH-J1-002,50,g,,,,,
氯化镁孔雀绿大豆胨增菌液,J1,常规化学品,杭州百思生物技术有限公司,20250619,250g,密封，室温干燥避光保存,KDY-250926-YZH-J1-017,2028.06.19,购置,1,瓶,常规,,203,203G-06,5,YZH-251010-SYY-J1-005,1,瓶,,,,,
脱纤维羊血,J1,常规化学品,湖南比克曼控股有限责任公司,20250922,100mL,4-8℃储存，切勿冷冻,KDY-250927-YZH-J1-002,2025.10.22,购置,1,瓶,常规,,203,小冰柜,,YZH-251017-SYY-J1-001,1,瓶,,,,,
乳糖胆盐发酵培养基,J1,常规化学品,中山市百微生物技术有限公司,20250905,250g,室温干燥避光保存,KDY-250929-YZH-J1-001,2028.09.05,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
四硫磺酸钠煌绿增菌液基础（TTB）,J1,常规化学品,中山市百微生物技术有限公司,20250812,250g,室温干燥避光保存,KDY-250929-YZH-J1-002,2028.08.12,购置,1,瓶,常规,,203,203G-02,3,YZH-251010-SYY-J1-001,1,瓶,,,,,
葡萄糖肉浸液肉汤,J1,常规化学品,中山市百微生物技术有限公司,20250821,250g,室温干燥避光保存,KDY-250929-YZH-J1-003,2028.08.21,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
绿脓菌素测定用培养基,J1,常规化学品,中山市百微生物技术有限公司,20250830,250g,室温干燥避光保存,KDY-250929-YZH-J1-004,2025.08.30,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
血琼脂基础,J1,常规化学品,中山市百微生物技术有限公司,20250913,250g,室温干燥避光保存,KDY-250929-YZH-J1-005,2028.09.13,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
胰蛋白胨大豆肉汤（TSB）,J1,常规化学品,中山市百微生物技术有限公司,20250908,250g,室温干燥避光保存,KDY-250929-YZH-J1-006,2028.09.08,购置,1,瓶,常规,,203,203G-02,3,YZH-251009-SYY-J1-003,1,瓶,,,,,
甘露醇发酵培养基,J1,常规化学品,中山市百微生物技术有限公司,20250702,250g,室温干燥避光保存,KDY-250929-YZH-J1-007,2028.07.02,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
结晶紫中性红胆盐琼脂（VRBA）,J1,常规化学品,中山市百微生物技术有限公司,20250918,250g,室温干燥避光保存,KDY-250929-YZH-J1-008,2028.09.18,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
煌绿乳糖胆盐肉汤）BGLB）,J1,常规化学品,中山市百微生物技术有限公司,20250823,250g,室温干燥避光保存,KDY-250929-YZH-J1-009,2028.08.23,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
月桂基硫酸盐胰蛋白胨肉汤（LST）,J1,常规化学品,中山市百微生物技术有限公司,20250918,250g,室温干燥避光保存,KDY-250929-YZH-J1-010,2028.09.18,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
EC肉汤,J1,常规化学品,中山市百微生物技术有限公司,20250809,250g,室温干燥避光保存,KDY-250929-YZH-J1-011,2028.08.09,购置,1,瓶,常规,,203,203G-02,3,,,,,1,瓶,,
木糖赖氨酸去氧胆酸盐琼脂培养基（XLD）,J1,常规化学品,天津市众联化学试剂有限公司,20250926,250g,室温干燥避光保存,KDY-250929-YZH-J1-012,2028.09.26,购置,1,瓶,常规,,203,203G-02,3,YZH-251010-SYY-J1-002,1,瓶,,,,,
亚硫酸铋琼脂（BS）,J1,常规化学品,天津市众联化学试剂有限公司,20250926,250g,室温干燥避光保存,KDY-250929-YZH-J1-013,2028.09.26,购置,1,瓶,常规,,203,203G-02,3,YZH-251010-SYY-J1-003,1,瓶,,,,,
缓冲蛋白胨水（BPW）,J1,常规化学品,天津市众联化学试剂有限公司,20250926,250g,室温干燥避光保存,KDY-250929-YZH-J1-014,2028.09.26,购置,1,瓶,常规,,203,203G-02,3,YZH-251009-SYY-J1-002,1,瓶,,,,,
HE琼脂培养基,J1,常规化学品,天津市众联化学试剂有限公司,20250926,250g,室温干燥避光保存,KDY-250929-YZH-J1-015,2028.09.26,购置,1,瓶,常规,,203,203G-02,3,YZH-251010-SYY-J1-004,1,瓶,,,,,
氯化钠,J1,常规化学品,天津市科密欧化学试剂有限公司,20250711,GR500g,室温干燥避光保存,KDY-250929-YZH-J1-016,,购置,2,瓶,常规,,203,203G-07,3,YZH-251027-WYH-J1-001,1,瓶,,1,瓶,,
Easy ID沙门氏菌生化鉴定试剂盒,J1,常规化学品,广东环凯生物科技有限公司,E1032KJ,10测试,,KDY-251009-YZH-J1-001,,购置,1,盒,常规,,203,冰箱,,YZH-251017SYY-J1-005,1,盒,,,,,
溴甲酚紫葡萄糖蛋白胨水培养基,J1,常规化学品,杭州白丝生物技术有限公司,20250604,250g,,KDY-251009-YZH-J1-002,,购置,250,g,常规,,203,203G-06,5,YZH-251009-SYY-J1-001,250,g,,,,,
0.1%煌绿,J1,常规化学品,中山市百微生物技术有限公司,,10ml*4,,KDY-251015-YZH-J1-001,,购置,40,ml,常规,,203,,,YZH-251015-SYY-J1-004,40,ml,,,,,
20%碘液,J1,常规化学品,中山市百微生物技术有限公司,,20ml*4,,KDY-251015-YZH-J1-002,,购置,80,ml,常规,,203,,,YZH-251015-SYY-J1-005,80,ml,,,,,
丙酮,J2,危险化学品,西陇科学（化工）,B2108121,AR500ml,,XQN/ZFY-250703-PKF/PXQ-J2-002；XQN/ZFY-250724-YZH/PXQ-J2-008；WYH/SYY-250925-YZH/ZFY-J2-004；,,购置,2000,mL,五双,,203,203G-04,1,MYM/QHJ-221018-WXY/CJF-J2-001；PKF/PXQ-250703-XQN/ZFY-J2-002；YZH/PXQ-250724-XQN/ZFY-J2-014；YZH/ZFY-250925-WYH/SYY-J2-005；YZH/ZFY-250925-WYH/SYY-J2-006；,700,mL,,1300,mL,易制毒,
三氯甲烷,J2,危险化学品,西陇科学（化工）,210702 2,AR500ml,,WWY/HPY-240119-ZHD/QHJ-J2-003,,购置,4,瓶,五双,,203,203G-04,1,MYM/WJS-220121-WJS-J2-001;QHJ/MYM-220929-MYM/WXY-J2-002;QHJ/MYM-230216-MYM/CJF-J2-002；QHJ/MYM-230217-MYM/CJF-J2-001；QHJ/MYM-230615-MYM/CJF-J2-001/MYM/CJF-230615-QHJ/MYM-J2-001;QHJ/ZHD-231122-QHJ/WWY-J2-003；ZHD/QHJ-240119-WWY/HPY-J2-003；QDJ/ZHD-240222-WWY/QDJ-J2-003,4,瓶,,,,易制毒,
三氯甲烷,J2,危险化学品,国药,20250319,AR500mL,,KDY/KDY-250807-YZH/ZFY-J2-003；YZH/SYY-250814-ZFY/LDC-J2-002；WYH/SYY-250926-YZH/ZFY-J2-013；SYY/LDC-251015-YZH/WYH-J2-004；LDC/WYH-251027-YZH/WYH-J2-003；WYH/YZH-251028-YZH/WYH-J2-001；YZH/SYO-251217-SYO/YZH-J2-001,,购置,5000,mL,五双,,203,203G-04,1,ZFY/LDC-250814-YZH/SYY-J2-002；YZH/ZFY-250926-WYH/SYY-J2-013；YZH/WYH-251015-SYY/LDC-J2-002；YZH/WYH-251027-LDC/WYH-J2-004；YZH/WYH-251028-WYH/YZH-J2-002；YZH/WYH-251118-WYH/YZH-J2-001；SYO/YZH-251217-YZH/SYO-J2-002,1110,mL,,3890,mL,易制毒,
硫酸,J2,危险化学品,西陇科学（化工）,2108271,AR500ml,,,,购置,6,瓶,五双,,203,203G-04,2,MYM/QHJ-220525-MYM-J2-001；MYMQHJ-220614-MYM-J2-001;MYM/QHJ-220621-MYM-J2-001;MYM/QHJ-220725-MYM-J2-001；MYM/QHJ-220801-MYM-J2-001；PXQ/PKF-250624-XQN/ZFY-J2-011；,6,瓶,,,,易制毒,
盐酸,J2,危险化学品,永华化学,20190214,AR500ml,,LMI/CYQ-240806-LMI/CYQ-J2-003；HYI/QDJ-241101-HYI/QDJ-J2-001；YZH/ZFY-250521-YZH/ZFY-J2-002；YZH/ZFY-250522-PKF/PXQ-J2-001；YZH/ZFY-250613-PKF/PXQ-J2-002；YZH/ZFY-250619-PKF/PXQ-J2-002；XQN/ZFY-250620-PKF/PXQ-J2-001；XQN/ZFY-250625-PKF/PXQ-J2-001；XQN/ZFY-250626-PKF/PXQ-J2-001；XQN/ZFY-250627-PKF/PXQ-J2-002；XQN/ZFY-250704-PKF/PXQ-J2-002；XQN/ZFY-250705-PKF/PXQ-J2-001；XQN/ZFY-250705-PKF/PXQ-J2-001；XQN/ZFY-250707-PKF/PXQ-J2-001；XQN/ZFY-250708-PKF/PXQ-J2-003；XQN/ZFY-250709-PKF/PXQ-J2-001；XQN/ZFY-250729-YZH/PXQ-J2-003；WYH/SYY-250903-YZH/ZFY-J2-001；YZH/SYY-250912-LDC/ZFY-J2-006；WYH/SYY-250926-YZH/ZFY-J2-012；WYH/SYY-250928-YZH/ZFY-J2-009；WYH/YZH-251124-YZH/WYH-J2-003；,,购置,2975,mL,五双,,203,203G-04,2,MYM/QHJ-220523-MYM-J2-001；MYM/QHJ-220809-MYM-J2-001；QHJ/MYM-221021-WXY/CJF-J2-001;MYM/QHJ-221107-MYM/CJF-J2-001；MYM/QHJ-221116-MYM/CJF-J2-001；QHJ/MYM-230110-MYM/CJF-J2-002；QHJ/MYM-230309-MYM/CJF-J2-003；QHJ/MYM-230517-MYM/CJF-J2-002；QHJ/CJF-231008-CJF/QYT-J2-001；LMI/CYQ-240806-LMI/CYQ-J2-003；HYI/QDJ-241101-HYI/QDJ-J2-001；PXQ/PKF-250520-YZH/ZFY-J2-002；PKF/PXQ-250522-YZH/ZFY-J2-001；PKF/PXQ-250619-YZH/ZFY-J2-001；PKF/PXQ-250620-XQN/ZFY-J2-001；PKF/PXQ-250613-YZH/ZFY-J2-002；PKF/PXQ-250619-YZH/ZFY-J2-001；PKF/PXQ-250621-YZH/ZFY-J2-001；PKF/PXQ-250623-YZH/ZFY-J2-006；PXQ/PKF-250625-XQN/ZFY-J2-009；PXQ/PKF-250626-XQN/ZFY-J2-004；PXQ/PKF-250627-XQN/ZFY-J2-002；PXQ/PKF-250704-XQN/ZFY-J2-003；PXQ/PKF-250705-XQN/ZFY-J2-001；PXQ/PKF-250707-XQN/ZFY-J2-003；PXQ/PKF-250708-XQN/ZFY-J2-003；PXQ/PKF-250709-XQN/ZFY-J2-001；YZH/PXQ-250729-XQN/ZFY-J2-003；YZH/ZFY-250903-WYH/SYY-J2-001；LDC/ZFY-250912-YZH/SYY-J2-008；YZH/ZFY-250926-WYH/SYY-J2-012；YZH/ZFY-250928-WYH/SYY-J2-009；YZH/ZFY-250928-WYH/SYY-J2-010；YZH/WYH-251124-WYH/YZH-J2-003；,1680,mL,3瓶已空,1295,mL,易制毒,
盐酸,J2,危险化学品,国药,20250522,GR500mL,,KDY/KDY-250807-YZH/ZFY-J2-004,,购置,500,mL,五双,,203,203G-04,2,,,,,500,mL,易制毒,
高锰酸钾,J2,危险化学品,西陇科学（化工）,1507013,AR500g,,MYM/QHJ-220118-MYM/QHJ-J2-001、QDJ/WWY-231121-QHJ/ZHD-J2-001、LMI/CYQ-240805-LMI/CYQ-J2-001、LMI/CYQ-240814-LMI/CYQ-J2-001；YZH/ZFY-250521-PXQ/PKF-J2-001；XQN/ZFY-250624-PXQ/PKF-J2-001；XQN/ZFY-250627-PXQ/PKF-J2-003；XQN/ZFY-250701-PXQ/PKF-J2-002；XQN/ZFY-250724-YZH/PXQ-J2-004；XQN/ZFY-250725-YZH/PXQ-J2-036；WYH/SYY-250918-YZH/ZFY-J2-001；,,返还,229.993,g,五双,,203,203G-04,3,QHJ/MYM-230619-MYM/CJF-J2-003，QHJ/MYM-230619-MYM/CJF-J2-002，QHJ/ZHD-231121-QDJ/WWY-J2-001，LMI/CYQ-240805-LMI/CYQ-J2-001，LMI/CYQ-240814-LMI/CYQ-J2-001，PXQ/PKF-250520-YZH/ZFY-J2-001；PXQ/PKF-250624-XQN/ZFY-J2-003；PXQ/PKF-250701-XQN/ZFY-J2-005；YZH/PXQ-250724-XQN/ZFY-J2-010；YZH/PXQ-250725-XQN/ZFY-J2-009；YZH/WYH-250918-ZFY/SYY-J2-001；,15.493,g,,214.5,g,易制毒,补返还
高锰酸钾,J2,危险化学品,西陇科学（化工）,1507013,AR500g,,,,购置,10,瓶,五双,,203,203G-04,3,MYM/WJS-220118-WJS-J2-001,1,瓶,,9,瓶,易制毒,
